time,S1,S2,S3,S4,S5,S6
19:09:25,1206.64,146.81,107.27,48.8,58.34,1201.66
19:09:26,1206.6,146.87,104.66,48.71,57.11,1201.62
19:09:27,1206.95,146.9,103.4,49.83,58.36,1201.15
19:09:28,1206.66,148.5,106.87,48.67,56.2,1201.03
19:09:29,1206.71,148.12,104.7,48.76,56.6,1201.63
19:09:30,32.72,147.24,104.25,48.6,56.58,1201.27
19:09:31,21.77,148.49,105.04,48.67,58.37,1201.67
19:09:33,3.72,0.14,3.18,2.42,2.8,2.89
19:09:34,3.57,2.92,9.96,1.95,2.54,3.11
19:09:35,26.95,3.49,4.23,3.57,3.85,1201.37
19:09:36,21.73,3.77,4.87,3.38,2.72,1201.53
19:09:37,1206.7,3.47,26.97,4.42,6.45,1201.15
19:09:38,1206.99,3.41,27.92,4.94,12.41,1201.03
19:09:39,1206.75,4.38,7.39,4.48,6.08,1201.73
19:09:40,1206.96,3.58,4.34,3.95,4.33,3.91
19:09:41,3.21,2.65,2.72,3.02,2.89,2.91
19:09:42,3.01,3.32,2.8,2.69,2.99,2.51
19:09:43,2.81,2.54,3.19,2.83,2.89,6.38
19:09:44,2.7,2.52,3.22,2.54,2.98,2.91
19:09:45,2.73,2.86,2.7,2.88,3.44,2.73
19:09:46,3.02,3.0,2.62,3.12,3.21,2.61
19:09:47,3.08,2.63,2.54,3.17,3.72,2.31
19:09:48,5.25,3.38,3.19,3.41,3.59,3.09
19:09:49,4.41,2.41,3.44,3.26,3.56,5.57
19:09:50,2.98,3.19,3.08,3.1,3.19,5.27
19:09:51,3.1,3.56,3.47,3.03,3.38,2.76
19:09:52,3.07,2.22,3.06,3.06,3.64,3.36
19:09:53,2.61,3.18,3.17,3.18,3.63,2.88
19:09:54,2.8,2.6,3.08,2.78,3.94,3.43
19:09:55,2.78,2.79,3.47,2.51,2.78,3.18
19:09:56,2.42,2.6,2.6,3.27,3.27,2.16
19:09:57,2.74,3.55,3.2,3.66,3.75,6.97
19:10:00,3.15,3.45,2.96,3.5,4.02,2.14
19:10:01,2.45,2.42,2.89,3.17,3.55,2.41
19:10:02,6.77,3.49,2.93,3.47,3.5,2.15
19:10:03,2.25,2.61,3.1,3.57,3.95,2.42
19:10:04,3.93,1.65,2.42,3.13,3.46,2.43
19:10:05,2.8,3.08,2.51,2.97,3.19,2.8
19:10:06,2.84,2.36,3.47,2.9,3.17,3.19
19:10:07,3.45,2.6,2.98,3.07,3.27,2.69
19:10:08,2.74,3.31,2.65,2.96,3.41,2.67
19:10:09,2.96,3.23,2.96,3.24,2.94,2.78
19:10:10,2.76,3.14,3.03,2.86,3.14,2.29
19:10:11,2.78,3.25,2.59,3.3,3.1,2.79
19:10:12,3.04,2.87,2.95,3.08,2.94,2.49
19:10:13,2.5,3.07,2.77,3.15,3.54,2.49
19:10:14,4.85,3.24,2.97,3.26,3.43,5.86
19:10:15,3.08,3.05,2.03,2.87,3.36,2.8
19:10:16,2.76,0.8,2.58,2.78,2.96,2.22
19:10:17,2.59,2.67,2.96,2.59,2.96,2.77
19:10:18,2.59,1.37,2.88,2.42,2.51,2.78
19:10:19,3.23,0.43,2.68,2.4,2.25,2.62
19:10:20,2.77,0.43,2.66,2.39,2.58,2.6
19:10:21,1.64,2.78,2.68,2.86,2.4,2.76
19:10:22,3.52,2.49,2.69,3.34,3.61,2.4
19:10:23,3.57,3.32,3.15,2.95,3.06,5.32
19:10:24,3.33,2.96,3.03,3.28,3.41,3.83
19:10:25,4.54,3.51,3.33,3.34,3.61,8.33
19:10:26,4.09,2.11,3.54,3.42,3.85,3.53
19:10:27,3.05,3.23,3.42,3.79,4.12,3.23
19:10:28,30.86,3.14,3.33,3.7,4.19,3.42
19:10:29,12.11,3.46,3.7,3.55,4.28,3.55
19:10:30,3.63,2.58,2.6,3.17,3.9,2.98
19:10:31,2.69,2.22,2.44,3.53,3.7,2.69
19:10:32,3.6,3.4,3.33,3.51,4.11,3.04
19:10:33,2.51,2.99,3.75,1.47,3.75,3.0
19:10:34,3.14,3.04,3.39,3.5,3.79,3.23
19:10:35,5.06,2.7,4.2,3.93,4.27,3.44
19:10:37,43.93,3.46,3.93,2.83,2.81,3.35
19:10:38,2.51,3.35,3.01,2.71,2.89,5.87
19:10:39,3.16,3.16,3.17,3.39,2.49,2.59
19:10:40,2.56,2.76,3.26,3.12,2.6,3.65
19:10:41,2.42,3.15,2.79,3.09,3.08,2.89
19:10:42,13.97,3.5,3.61,2.6,2.68,4.07
19:10:43,8.24,3.38,3.95,2.73,2.86,3.37
19:10:44,7.82,0.14,3.61,2.76,2.31,3.26
19:10:45,3.53,3.47,3.72,2.98,2.4,3.63
19:10:46,2.96,3.71,3.72,2.95,2.87,4.87
19:10:47,3.32,4.16,3.79,2.57,2.85,4.17
19:10:48,2.96,2.94,2.88,2.94,2.51,5.7
